Character,Book,Page,Chapter No,Chapter Name,POV,Title,Forename,Surname,OldSurname,Alias,RegnalNo,Gender,AliveStatus
"Pate, Orphan",A Feast for Crows,624,37,Brienne VII,Brienne of Tarth,,Pate,,,Orphan,,M,
Jon Penny,A Feast for Crows,624,37,Brienne VII,Brienne of Tarth,,Jon,Penny,,,,M,
"Ben, Ben Big Mouth, Orphan",A Feast for Crows,624,37,Brienne VII,Brienne of Tarth,,Ben,,,"Ben Big Mouth, Orphan",,M,
Hugh Clifton,A Feast for Crows,655,39,Cersei IX,Cersei Lannister,,Hugh,Clifton,,,,M,
Bors,A Feast for Crows,669,40,The Princess in the Tower,Arianne Martell,,Bors,,,,,M,
Timoth,A Feast for Crows,669,40,The Princess in the Tower,Arianne Martell,,Timoth,,,,,M,
Morra,A Feast for Crows,669,40,The Princess in the Tower,Arianne Martell,,Morra,,,,,F,
Mellei,A Feast for Crows,669,40,The Princess in the Tower,Arianne Martell,,Mellei,,,,,F,
Belandra,A Feast for Crows,669,40,The Princess in the Tower,Arianne Martell,,Belandra,,,,,F,
"Lord Franklyn Fowler, The Old Hawk",A Feast for Crows,672,40,The Princess in the Tower,Arianne Martell,Lord,Franklyn,Fowler,,The Old Hawk,,M,
Ben Beesbury,A Feast for Crows,675,40,The Princess in the Tower,Arianne Martell,,Ben,Beesbury,,,,M,
Lady Jordayne,A Feast for Crows,680,40,The Princess in the Tower,Arianne Martell,Lady,?,Jordayne,,,,F,
Frynne,A Feast for Crows,684,40,The Princess in the Tower,Arianne Martell,,Frynne,,,,,M,
Maester Kedry,A Feast for Crows,684,40,The Princess in the Tower,Arianne Martell,Maester,Kedry,,,,,M,D
"Ser Artys Arryn, The Winged Knight",A Feast for Crows,687,41,Alayne III,Sansa Stark,Ser,Artys,Arryn,,The Winged Knight,,M,D
Terrance Lynderly,A Feast for Crows,690,41,Alayne III,Sansa Stark,,Terrance,Lynderly,,,,M,
Gyles Grafton,A Feast for Crows,690,41,Alayne III,Sansa Stark,,Gyles,Grafton,,,,M,
Ossy,A Feast for Crows,699,41,Alayne III,Sansa Stark,,Ossy,,,,,M,
Carrot,A Feast for Crows,699,41,Alayne III,Sansa Stark,,Carrot,,,,,M,
"Ser Byron, The Beautiful",A Feast for Crows,707,41,Alayne III,Sansa Stark,Ser,Byron,,,The Beautiful,,M,
"Ser Morgarth, The Merry",A Feast for Crows,707,41,Alayne III,Sansa Stark,Ser,Morgarth,,,The Merry,,M,
Lord Jasper Arryn,A Feast for Crows,709,41,Alayne III,Sansa Stark,Lord,Jasper,Arryn,,,,M,
Alys Waynwood,A Feast for Crows,709,41,Alayne III,Sansa Stark,,Alys,Waynwood,Arryn,,,F,
Ser Elys Waynwood,A Feast for Crows,709,41,Alayne III,Sansa Stark,Ser,Elys,Waynwood,,,,M,
Septa Moelle,A Feast for Crows,728,43,Cersei X,Cersei Lannister,Septa,Moelle,,,,,F,
Septa Aglantine,A Feast for Crows,729,43,Cersei X,Cersei Lannister,Septa,Aglantine,,,,,F,
Septa Melicent,A Feast for Crows,729,43,Cersei X,Cersei Lannister,Septa,Melicent,,,,,F,
"Ser Theodan Wells, The True",A Feast for Crows,734,43,Cersei X,Cersei Lannister,Ser,Theodan,Wells,,The True,,M,
Septa Unella,A Feast for Crows,736,43,Cersei X,Cersei Lannister,Septa,Unella,,,,,F,
Septa Scolera,A Feast for Crows,741,43,Cersei X,Cersei Lannister,Septa,Scolera,,,,,F,
Humfrey Waters,A Feast for Crows,743,43,Cersei X,Cersei Lannister,,Humfrey,Waters,,,,M,
Jate,A Feast for Crows,755,44,Jaime VII,Jaime Lannister,,Jate,,,,,M,
Ser Gunthor Hightower,A Feast for Crows,764,45,Samwell V,Samwell Tarly,Ser,Gunthor,Hightower,,,,M,
"Ser Garth Hightower, Greysteel",A Feast for Crows,764,45,Samwell V,Samwell Tarly,Ser,Garth,Hightower,,Greysteel,,M,
Ser Humfrey Hightower,A Feast for Crows,764,45,Samwell V,Samwell Tarly,Ser,Humfrey,Hightower,,,,M,
Archmaester Theobald,A Feast for Crows,769,45,Samwell V,Samwell Tarly,Archmaester,Theobald,,,,,M,
"Gorghan, Of Old Ghis",A Feast for Crows,774,45,Samwell V,Samwell Tarly,,Gorghan,,,Of Old Ghis,,M,
"Hoke, The Horseleg",A Feast for Crows,783,46,Appendix,N/A,,Hoke,,,The Horseleg,,M,
Ser Willam Wythers,A Feast for Crows,784,46,Appendix,N/A,Ser,Willam,Wythers,,,,M,
Ser Richard Horpe,A Feast for Crows,787,46,Appendix,N/A,Ser,Richard,Horpe,,,,M,
Ser Justin Massey,A Feast for Crows,787,46,Appendix,N/A,Ser,Justin,Massey,,,,M,
Ser Clayton Suggs,A Feast for Crows,787,46,Appendix,N/A,Ser,Clayton,Suggs,,,,M,
"Ser Godry Farring, Giantslayer",A Feast for Crows,787,46,Appendix,N/A,Ser,Godry,Farring,,Giantslayer,,M,
Lord Harwood Fell,A Feast for Crows,787,46,Appendix,N/A,Lord,Harwood,Fell,,,,M,D
Ser Corliss Penny,A Feast for Crows,787,46,Appendix,N/A,Ser,Corliss,Penny,,,,M,
Quenton Greyjoy,A Feast for Crows,790,46,Appendix,N/A,,Quenton,Greyjoy,,,,M,
Gyles Farwynd,A Feast for Crows,791,46,Appendix,N/A,,Gyles,Farwynd,,,,M,
Ygon Farwynd,A Feast for Crows,791,46,Appendix,N/A,,Ygon,Farwynd,,,,M,
Yohn Farwynd,A Feast for Crows,791,46,Appendix,N/A,,Yohn,Farwynd,,,,M,
Urek Ironmaker,A Feast for Crows,791,46,Appendix,N/A,,Urek,Ironmaker,,,,M,
Dagon Ironmaker,A Feast for Crows,791,46,Appendix,N/A,,Dagon,Ironmaker,,,,M,
Symond Botley,A Feast for Crows,792,46,Appendix,N/A,,Symond,Botley,,,,M,
Harlon Botley,A Feast for Crows,792,46,Appendix,N/A,,Harlon,Botley,,,,M,
Vickon Botley,A Feast for Crows,792,46,Appendix,N/A,,Vickon,Botley,,,,M,
Bennarion Botley,A Feast for Crows,792,46,Appendix,N/A,,Bennarion,Botley,,,,M,
Balon Botley,A Feast for Crows,792,46,Appendix,N/A,,Balon,Botley,,,,M,
Quellon Botley,A Feast for Crows,792,46,Appendix,N/A,,Quellon,Botley,,,,M,
Sargon Botley,A Feast for Crows,792,46,Appendix,N/A,,Sargon,Botley,,,,M,
Lucimore Botley,A Feast for Crows,792,46,Appendix,N/A,,Lucimore,Botley,,,,M,
"Ben Blacktyde, Blind Ben Blacktyde",A Feast for Crows,794,46,Appendix,N/A,,Ben,Blacktyde,,Blind Ben Blacktyde,,M,
Ser Lucas Corbray,A Feast for Crows,798,46,Appendix,N/A,Ser,Lucas,Corbray,,,,M,
Lord Triston Sunderland,A Feast for Crows,798,46,Appendix,N/A,Lord,Triston,Sunderland,,,,M,
Lord Godric Borrell,A Feast for Crows,798,46,Appendix,N/A,Lord,Godric,Borrell,,,,M,
Lord Rolland Longthorpe,A Feast for Crows,798,46,Appendix,N/A,Lord,Rolland,Longthorpe,,,,M,
Lord Alesandor Torrent,A Feast for Crows,798,46,Appendix,N/A,Lord,Alesandor,Torrent,,,,M,
Lord Royce Coldwater,A Feast for Crows,798,46,Appendix,N/A,Lord,Royce,Coldwater,,,,M,
Ser Damon Shett,A Feast for Crows,798,46,Appendix,N/A,Ser,Damon,Shett,,,,M,
Lord Uthor Tollett,A Feast for Crows,798,46,Appendix,N/A,Lord,Uthor,Tollett,,,,M,
Wallace Waynwood,A Feast for Crows,798,46,Appendix,N/A,,Wallace,Waynwood,,,,M,
Ser Eustace Hunter,A Feast for Crows,798,46,Appendix,N/A,Ser,Eustace,Hunter,,,,M,
Ser Jasper Redfort,A Feast for Crows,799,46,Appendix,N/A,Ser,Jasper,Redfort,,,,M,
Ser Creighton Redfort,A Feast for Crows,799,46,Appendix,N/A,Ser,Creighton,Redfort,,,,M,
Ser Jon Redfort,A Feast for Crows,799,46,Appendix,N/A,Ser,Jon,Redfort,,,,M,
Ysilla Redfort,A Feast for Crows,799,46,Appendix,N/A,,Ysilla,Redfort,Royce,,,F,
Hostella Frey,A Feast for Crows,804,46,Appendix,N/A,,Hostella,Frey,,,,F,
Leana Frey,A Feast for Crows,805,46,Appendix,N/A,,Leana,Frey,,,,F,
Haggon,A Dance with Dragons,4,0,Prologue,Varamyr Sixskins,,Haggon,,,,,M,
Thistle,A Dance with Dragons,4,0,Prologue,Varamyr Sixskins,,Thistle,,,,,F,D
Mother Mole,A Dance with Dragons,6,0,Prologue,Varamyr Sixskins,,?,,,Mother Mole,,F,
Bump,A Dance with Dragons,7,0,Prologue,Varamyr Sixskins,,Bump,,,,,M,
Borroq,A Dance with Dragons,10,0,Prologue,Varamyr Sixskins,,Borroq,,,,,M,
Briar,A Dance with Dragons,10,0,Prologue,Varamyr Sixskins,,Briar,,,,,M,
Grisella,A Dance with Dragons,10,0,Prologue,Varamyr Sixskins,,Grisella,,,,,F,
Meha,A Dance with Dragons,13,0,Prologue,Varamyr Sixskins,,Meha,,,,,F,
Lord Runceford Redwyne,A Dance with Dragons,22,1,Tyrion I,Tyrion Lannister,Lord,Runceford,Redwyne,,,,M,
Magister Ordello,A Dance with Dragons,27,1,Tyrion I,Tyrion Lannister,Magister,Ordello,,,,,M,
Stalwart Shield,A Dance with Dragons,32,2,Daenerys I,Daenerys Targaryen,,Stalwart,Shield,,,,M,D
Reznak mo Reznak,A Dance with Dragons,34,2,Daenerys I,Daenerys Targaryen,,Reznak,mo Reznak,,,,M,
"Skahaz mo Kandaq, Shavepate",A Dance with Dragons,34,2,Daenerys I,Daenerys Targaryen,,Skahaz,mo Kandaq,,Shavepate,,M,
"Galazza Galarre, The Green Grace",A Dance with Dragons,35,2,Daenerys I,Daenerys Targaryen,,Galazza,Galarre,,The Green Grace,,F,
Hizdahr zo Loraq,A Dance with Dragons,39,2,Daenerys I,Daenerys Targaryen,,Hizdahr,zo Loraq,,,,M,
Grazdan zo Galare,A Dance with Dragons,41,2,Daenerys I,Daenerys Targaryen,,Grazdan,zo Galare,,,,M,
Lyanna Mormont,A Dance with Dragons,51,3,Jon I,Jon Snow,,Lyanna,Mormont,,,,F,
Arnolf Karstark,A Dance with Dragons,52,3,Jon I,Jon Snow,,Arnolf,Karstark,,,,M,
Pytho Malanon,A Dance with Dragons,74,5,Tyrion II,Tyrion Lannister,,Pytho,Malanon,,,,M,
"Ser Aegor Rivers, Bittersteel",A Dance with Dragons,77,5,Tyrion II,Tyrion Lannister,Ser,Aegor,Rivers,,Bittersteel,,M,
"King Hugor, Of the Hill",A Dance with Dragons,79,5,Tyrion II,Tyrion Lannister,King,Hugor,,,Of the Hill,,M,D
"Serra, Wife of Illyrio",A Dance with Dragons,79,5,Tyrion II,Tyrion Lannister,,Serra,,,Wife of Illyrio,,F,
Ser Gerris Drinkwater,A Dance with Dragons,83,6,The Merchant's Man,Quentyn Martell,Ser,Gerris,Drinkwater,,,,M,
Willam Wells,A Dance with Dragons,87,6,The Merchant's Man,Quentyn Martell,,Willam,Wells,,,,M,D
Ynys Yronwood,A Dance with Dragons,90,6,The Merchant's Man,Quentyn Martell,,Ynys,Yronwood,,,,F,
Gwyneth Yronwood,A Dance with Dragons,90,6,The Merchant's Man,Quentyn Martell,,Gwyneth,Yronwood,,,,F,
"Ser Archibald Yronwood, Arch/The Big Man",A Dance with Dragons,93,6,The Merchant's Man,Quentyn Martell,Ser,Archibald,Yronwood,,Arch/The Big Man,,M,
"Lord Commander Jack Musgood, Jolly Jack",A Dance with Dragons,107,7,Jon II,Jon Snow,Lord Commander,Jack,Musgood,,Jolly Jack,,M,
"Lord Harmond Umber, The Drunken Giant",A Dance with Dragons,107,7,Jon II,Jon Snow,Lord,Harmond,Umber,,The Drunken Giant,,M,
Manly Stokeworth,A Dance with Dragons,107,7,Jon II,Jon Snow,,Manly,Stokeworth,,,,M,
"Jack Crabb, Red Jack Crabb",A Dance with Dragons,109,7,Jon II,Jon Snow,,Jack,Crabb,,Red Jack Crabb,,M,
Rusty Flowers,A Dance with Dragons,109,7,Jon II,Jon Snow,,Rusty,Flowers,,,,M,
"Haldon, Halfmaester",A Dance with Dragons,112,8,Tyrion III,Tyrion Lannister,,Haldon,,,Halfmaester,,M,
"Ser Rolly Duckfield, Duck",A Dance with Dragons,112,8,Tyrion III,Tyrion Lannister,Ser,Rolly,Duckfield,,Duck,,M,
Khal Motho,A Dance with Dragons,113,8,Tyrion III,Tyrion Lannister,Khal,Motho,,,,,M,
Khal Mekko,A Dance with Dragons,113,8,Tyrion III,Tyrion Lannister,Khal,Mekko,,,,,M,
Ser Byron Swann,A Dance with Dragons,114,8,Tyrion III,Tyrion Lannister,Ser,Byron,Swann,,,,M,
Grand Maester Munken,A Dance with Dragons,114,8,Tyrion III,Tyrion Lannister,Grand Maester,Munken,,,,,M,
Prince Aemond Targaryen,A Dance with Dragons,114,8,Tyrion III,Tyrion Lannister,Prince,Aemond,Targaryen,,,,M,
Septa Lemore,A Dance with Dragons,114,8,Tyrion III,Tyrion Lannister,Septa,Lemore,,,,,F,
"Urho, The Unwashed",A Dance with Dragons,115,8,Tyrion III,Tyrion Lannister,,Urho,,,The Unwashed,,M,
"Lady Korra, The Good",A Dance with Dragons,115,8,Tyrion III,Tyrion Lannister,Lady,Korra,,,The Good,,F,
The Shrouded Lord,A Dance with Dragons,115,8,Tyrion III,Tyrion Lannister,,?,,,The Shrouded Lord,,M,
Ser Harry Strickland,A Dance with Dragons,116,8,Tyrion III,Tyrion Lannister,Ser,Harry,Strickland,,,,M,
Lomas Longstrider,A Dance with Dragons,117,8,Tyrion III,Tyrion Lannister,,Lomas,Longstrider,,,,M,
Ysilla,A Dance with Dragons,121,8,Tyrion III,Tyrion Lannister,,Ysilla,,,,,F,
Gella,A Dance with Dragons,128,9,Davos I,Davos Seaworth,,Gella,,,,,F,
Marq Grafton,A Dance with Dragons,132,9,Davos I,Davos Seaworth,,Marq,Grafton,,,,M,
"Ben, Bearded Ben",A Dance with Dragons,137,10,Jon III,Jon Snow,,Ben,,,Bearded Ben,,M,
Sigorn,A Dance with Dragons,138,10,Jon III,Jon Snow,,Sigorn,,,,,M,
Halleck,A Dance with Dragons,139,10,Jon III,Jon Snow,,Halleck,,,,,M,
Black Fist,A Dance with Dragons,148,11,Daenerys II,Daenerys Targaryen,,Black Fist,,,,,M,
Cetherys,A Dance with Dragons,148,11,Daenerys II,Daenerys Targaryen,,Cetherys,,,,,M,
Mossador,A Dance with Dragons,148,11,Daenerys II,Daenerys Targaryen,,Mossador,,,,,M,D
Duran,A Dance with Dragons,148,11,Daenerys II,Daenerys Targaryen,,Duran,,,,,M,
Eladon Goldenhair,A Dance with Dragons,148,11,Daenerys II,Daenerys Targaryen,,Eladon Goldenhair,,,,,M,
Loyal Spear,A Dance with Dragons,148,11,Daenerys II,Daenerys Targaryen,,Loyal Spear,,,,,M,
Marselen,A Dance with Dragons,149,11,Daenerys II,Daenerys Targaryen,,Marselen,,,,,M,
Rylona Rhee,A Dance with Dragons,149,11,Daenerys II,Daenerys Targaryen,,Rylona,Rhee,,,,F,
Khrazz,A Dance with Dragons,154,11,Daenerys II,Daenerys Targaryen,,Khrazz,,,,,M,D
"Barsena, Barsena Blackhair",A Dance with Dragons,154,11,Daenerys II,Daenerys Targaryen,,Barsena,,,Barsena Blackhair,,F,
"Camarron, Of the Count",A Dance with Dragons,154,11,Daenerys II,Daenerys Targaryen,,Camarron,,,Of the Count,,M,
"Goghor, The Giant",A Dance with Dragons,154,11,Daenerys II,Daenerys Targaryen,,Goghor,,,The Giant,,M,
The Spotted Cat,A Dance with Dragons,154,11,Daenerys II,Daenerys Targaryen,,?,,,The Spotted Cat,,M,
"Ithoke, Fearless Ithoke",A Dance with Dragons,154,11,Daenerys II,Daenerys Targaryen,,Ithoke,,,Fearless Ithoke,,M,
"Belaquo, Belaquo Bonebreaker",A Dance with Dragons,154,11,Daenerys II,Daenerys Targaryen,,Belaquo,,,Belaquo Bonebreaker,,M,
Hazzea,A Dance with Dragons,157,11,Daenerys II,Daenerys Targaryen,,Hazzea,,,,,F,D
"Ben, Ben Bones",A Dance with Dragons,165,12,Reek I,Theon Greyjoy,,Ben,,,Ben Bones,,M,
"Damon, Damon Dance-For-Me",A Dance with Dragons,165,12,Reek I,Theon Greyjoy,,Damon,,,Damon Dance-For-Me,,M,
Grunt,A Dance with Dragons,165,12,Reek I,Theon Greyjoy,,Grunt,,,,,M,
"Alyn, Sour Alyn",A Dance with Dragons,165,12,Reek I,Theon Greyjoy,,Alyn,,,Sour Alyn,,M,
Skinner,A Dance with Dragons,165,12,Reek I,Theon Greyjoy,,Skinner,,,,,M,
"Dick, Yellow Dick",A Dance with Dragons,165,12,Reek I,Theon Greyjoy,,Dick,,,Yellow Dick,,M,D
Yandry,A Dance with Dragons,179,14,Tyrion IV,Tyrion Lannister,,Yandry,,,,,M,
Galendro,A Dance with Dragons,185,14,Tyrion IV,Tyrion Lannister,,Galendro,,,,,M,
Triarch Malaquo Maegyr,A Dance with Dragons,188,14,Tyrion IV,Tyrion Lannister,Triarch,Malaquo,Maegyr,,,,M,
Triarch Nyessos Vhassar,A Dance with Dragons,188,14,Tyrion IV,Tyrion Lannister,Triarch,Nyessos,Vhassar,,,,M,
Triarch Doniphos Paenymion,A Dance with Dragons,188,14,Tyrion IV,Tyrion Lannister,Triarch,Doniphos,Paenymion,,,,M,
Casso Mogat,A Dance with Dragons,194,15,Davos II,Davos Seaworth,,Casso,Mogat,,,,M,
Mezzara,A Dance with Dragons,213,16,Daenerys III,Daenerys Targaryen,,Mezzara,,,,,F,
Rommo,A Dance with Dragons,214,16,Daenerys III,Daenerys Targaryen,,Rommo,,,,,M,
Mollono Yos Dob,A Dance with Dragons,214,16,Daenerys III,Daenerys Targaryen,,Mollono,Yos Dob,,,,M,
Symon Stripeback,A Dance with Dragons,214,16,Daenerys III,Daenerys Targaryen,,Symon,Stripeback,,,,M,
Wick Whittlestick,A Dance with Dragons,218,17,Jon IV,Jon Snow,,Wick,Whittlestick,,,,M,
Lord Hoarfrost Umber,A Dance with Dragons,228,17,Jon IV,Jon Snow,Lord,Hoarfrost,Umber,,,,M,
Lord Sweet,A Dance with Dragons,224,17,Jon IV,Jon Snow,Lord,?,Sweet,,,,M,
Ser Marlon Manderly,A Dance with Dragons,243,19,Davos III,Davos Seaworth,Ser,Marlon,Manderly,,,,M,
Maester Theomore,A Dance with Dragons,246,19,Davos III,Davos Seaworth,Maester,Theomore,,Lannister,,,M,
Lady Leona Manderly,A Dance with Dragons,247,19,Davos III,Davos Seaworth,Lady,Leona,Manderly,Woolfield,,,F,
Wylla Manderly,A Dance with Dragons,257,20,Reek II,Theon Greyjoy,,Wylla,Manderly,,,,F,
Dagon Codd,A Dance with Dragons,257,20,Reek II,Theon Greyjoy,,Dagon,Codd,,,,M,D
Adrack Humble,A Dance with Dragons,261,20,Reek II,Theon Greyjoy,,Adrack,Humble,,,,M,D
Roger Ryswell,A Dance with Dragons,262,20,Reek II,Theon Greyjoy,,Roger,Ryswell,,,,M,
Rickard Ryswell,A Dance with Dragons,262,20,Reek II,Theon Greyjoy,,Rickard,Ryswell,,,,M,
Ty,A Dance with Dragons,268,21,Jon V,Jon Snow,,Ty,,,,,M,
Rory,A Dance with Dragons,272,21,Jon V,Jon Snow,,Rory,,,,,M,
Butts,A Dance with Dragons,273,21,Jon V,Jon Snow,,Butts,,,,,M,
Qavo Nogarys,A Dance with Dragons,283,22,Tyrion VI,Tyrion Lannister,,Qavo,Nogarys,,,,M,
Triarch Horonno,A Dance with Dragons,285,22,Tyrion VI,Tyrion Lannister,Triarch,Horonno,,,,,M,
Benerro,A Dance with Dragons,286,22,Tyrion VI,Tyrion Lannister,,Benerro,,,,,M,
Qezza,A Dance with Dragons,293,23,Daenerys IV,Daenerys Targaryen,,Qezza,,,,,F,
Grazhar,A Dance with Dragons,293,23,Daenerys IV,Daenerys Targaryen,,Grazhar,,,,,M,
"King , Cleon the Second",A Dance with Dragons,294,23,Daenerys IV,Daenerys Targaryen,King,?,,,Cleon the Second,,M,
"King , King Cutthroat",A Dance with Dragons,294,23,Daenerys IV,Daenerys Targaryen,King,?,,,King Cutthroat,,M,
"Queen , Queen Whore",A Dance with Dragons,294,23,Daenerys IV,Daenerys Targaryen,Queen,?,,,Queen Whore,,F,
"Mazdhan zo Loraq, The Magnificent",A Dance with Dragons,295,23,Daenerys IV,Daenerys Targaryen,,Mazdhan,zo Loraq,,The Magnificent,,M,
"Hazrak zo Loraq, The Handsome",A Dance with Dragons,295,23,Daenerys IV,Daenerys Targaryen,,Hazrak,zo Loraq,,The Handsome,,M,
"Zharaq zo Loraq, The Liberator",A Dance with Dragons,295,23,Daenerys IV,Daenerys Targaryen,,Zharaq,zo Loraq,,The Liberator,,M,
"Myles Toyne, Blackheart",A Dance with Dragons,307,24,The Lost Lord,Jon Connington,,Myles,Toyne,,Blackheart,,M,D
Franklyn Flowers,A Dance with Dragons,310,24,The Lost Lord,Jon Connington,,Franklyn,Flowers,,,,M,A
Marq Mandrake,A Dance with Dragons,312,24,The Lost Lord,Jon Connington,,Marq,Mandrake,,,,M,A
"Balaq, Black Balaq",A Dance with Dragons,312,24,The Lost Lord,Jon Connington,,Balaq,,,Black Balaq,,M,A
Gorys Edoryen,A Dance with Dragons,312,24,The Lost Lord,Jon Connington,,Gorys,Edoryen,,,,M,A
Lysono Maar,A Dance with Dragons,312,24,The Lost Lord,Jon Connington,,Lysono,Maar,,,,M,A
Watkyn,A Dance with Dragons,313,24,The Lost Lord,Jon Connington,,Watkyn,,,,,M,A
Laswell Peake,A Dance with Dragons,314,24,The Lost Lord,Jon Connington,,Laswell,Peake,,,,M,A
Ser Tristan Rivers,A Dance with Dragons,315,24,The Lost Lord,Jon Connington,Ser,Tristan,Rivers,,,,M,A
Dick Straw,A Dance with Dragons,320,25,The Windblown,Quentyn Martell,,Dick,Straw,,,,M,
"Bill Bone, Old Bill Bone",A Dance with Dragons,320,25,The Windblown,Quentyn Martell,,Bill,Bone,,Old Bill Bone,,M,
Myrio Myrakis,A Dance with Dragons,320,25,The Windblown,Quentyn Martell,,Myrio,Myrakis,,,,M,
The Tattered Prince,A Dance with Dragons,320,25,The Windblown,Quentyn Martell,,?,,,The Tattered Prince,,M,
Caggo,A Dance with Dragons,320,25,The Windblown,Quentyn Martell,,Caggo,,,,,M,
Baqq,A Dance with Dragons,320,25,The Windblown,Quentyn Martell,,Baqq,,,,,M,
Greenguts,A Dance with Dragons,320,25,The Windblown,Quentyn Martell,,Greenguts,,,,,M,
Gerrold Redback,A Dance with Dragons,320,25,The Windblown,Quentyn Martell,,Gerrold,Redback,,,,M,
"Gerrold, Black Gerrold",A Dance with Dragons,321,25,The Windblown,Quentyn Martell,,Gerrold,,,Black Gerrold,,M,
Books,A Dance with Dragons,321,25,The Windblown,Quentyn Martell,,Books,,,,,M,
Bloodbeard,A Dance with Dragons,323,25,The Windblown,Quentyn Martell,,Bloodbeard,,,,,M,
Yurkhaz zo Yunzak,A Dance with Dragons,323,25,The Windblown,Quentyn Martell,,Yurkhaz,zo Yunzak,,,,M,D
"Yezzan zo Qaggaz, Yellow Whale",A Dance with Dragons,323,25,The Windblown,Quentyn Martell,,Yezzan,zo Qaggaz,,Yellow Whale,,M,D
Girl General,A Dance with Dragons,323,25,The Windblown,Quentyn Martell,,?,,,Girl General,,F,
"Paezhar zo Myraq, Little Pigeon",A Dance with Dragons,323,25,The Windblown,Quentyn Martell,,Paezhar,zo Myraq,,Little Pigeon,,M,
"Ghazdor zo Ahlaq, Lord Wobblecheeks",A Dance with Dragons,324,25,The Windblown,Quentyn Martell,,Ghazdor,zo Ahlaq,,Lord Wobblecheeks,,M,
"Morghaz zo Zherzyn, The Drunken Conqueror",A Dance with Dragons,324,25,The Windblown,Quentyn Martell,,Morghaz,zo Zherzyn,,The Drunken Conqueror,,M,
The Beastmaster,A Dance with Dragons,324,25,The Windblown,Quentyn Martell,,?,,,The Beastmaster,,M,
"Gorzhak zo Eraz, Pudding Face",A Dance with Dragons,324,25,The Windblown,Quentyn Martell,,Gorzhak,zo Eraz,,Pudding Face,,M,
"Faezhar zo Faez, The Rabbit",A Dance with Dragons,324,25,The Windblown,Quentyn Martell,,Faezhar,zo Faez,,The Rabbit,,M,
The Charioteer,A Dance with Dragons,324,25,The Windblown,Quentyn Martell,,?,,,The Charioteer,,M,
The Perfurmed Hero,A Dance with Dragons,324,25,The Windblown,Quentyn Martell,,?,,,The Perfurmed Hero,,M,
Denzo D'han,A Dance with Dragons,325,25,The Windblown,Quentyn Martell,,Denzo,D'han,,,,M,
"Meris, Pretty Meris",A Dance with Dragons,328,25,The Windblown,Quentyn Martell,,Meris,,,Pretty Meris,,F,
Hugh Hungerford,A Dance with Dragons,328,25,The Windblown,Quentyn Martell,,Hugh,Hungerford,,,,M,
Lewys Lanster,A Dance with Dragons,329,25,The Windblown,Quentyn Martell,,Lewys,Lanster,,,,M,
Ser Orson Stone,A Dance with Dragons,330,25,The Windblown,Quentyn Martell,Ser,Orson,Stone,,,,M,
"Will, Will of the Woods",A Dance with Dragons,330,25,The Windblown,Quentyn Martell,,Will,,,Will of the Woods,,M,
Ser Lucifer Long,A Dance with Dragons,330,25,The Windblown,Quentyn Martell,Ser,Lucifer,Long,,,,M,
Webber,A Dance with Dragons,330,25,The Windblown,Quentyn Martell,,Webber,,,,,M,
"Quenton Greyjoy, Cousin of Asha",A Dance with Dragons,333,26,The Wayward Bride,Asha Greyjoy,,Quenton,Greyjoy,,Cousin of Asha,,M,D
"Dagon Greyjoy, The Drunkard",A Dance with Dragons,333,26,The Wayward Bride,Asha Greyjoy,,Dagon,Greyjoy,,The Drunkard,,M,
Cromm,A Dance with Dragons,333,26,The Wayward Bride,Asha Greyjoy,,Cromm,,,,,M,D
"Qarl Kenning, Queer Qarl Kenning",A Dance with Dragons,335,26,The Wayward Bride,Asha Greyjoy,,Qarl,Kenning,,Queer Qarl Kenning,,M,
Qarl Quickaxe,A Dance with Dragons,335,26,The Wayward Bride,Asha Greyjoy,,Qarl,Quickaxe,,,,M,
"Hagen, The Horn",A Dance with Dragons,339,26,The Wayward Bride,Asha Greyjoy,,Hagen,,,The Horn,,M,D
"Torgon Greyiron, The Latecomer",A Dance with Dragons,341,26,The Wayward Bride,Asha Greyjoy,,Torgon,Greyiron,,The Latecomer,,M,
Urragon Goodbrother,A Dance with Dragons,342,26,The Wayward Bride,Asha Greyjoy,,Urragon,Goodbrother,,,,M,
Lorren Longaxe,A Dance with Dragons,342,26,The Wayward Bride,Asha Greyjoy,,Lorren,Longaxe,,,,M,
"Harl, Six-Toed Harl",A Dance with Dragons,342,26,The Wayward Bride,Asha Greyjoy,,Harl,,,Six-Toed Harl,,M,
Grimtongue,A Dance with Dragons,342,26,The Wayward Bride,Asha Greyjoy,,Grimtongue,,,,,M,
"Rolfe, The Dwarf",A Dance with Dragons,344,26,The Wayward Bride,Asha Greyjoy,,Rolfe,,,The Dwarf,,M,D
Roggon Rustbeard,A Dance with Dragons,346,26,The Wayward Bride,Asha Greyjoy,,Roggon,Rustbeard,,,,M,
"Dale, Droopeye Dale",A Dance with Dragons,347,26,The Wayward Bride,Asha Greyjoy,,Dale,,,Droopeye Dale,,M,
Methyso,A Dance with Dragons,361,27,Tyrion VII,Tyrion Lannister,,Methyso,,,,,M,
Alios Qhaedar,A Dance with Dragons,361,27,Tyrion VII,Tyrion Lannister,,Alios,Qhaedar,,,,M,
Widow of the Waterfront/Vogarro's Whore,A Dance with Dragons,364,27,Tyrion VII,Tyrion Lannister,,?,,,Widow of the Waterfront/Vogarro's Whore,,F,
